"sector","sentiment","corr_revenue","corr_operating","corr_net","corr_rev_above","corr_op_above","corr_net_above"
"Consumer Discretionary",0.660290635395812,0.173945800865193,0.376116769379094,0.329970594601409,"above","above","above"
"Consumer Staples",0.664877857191667,0.0516310691007306,0.0859470593549679,0.0824984394315855,"above","above","above"
"Energy",0.532586705302275,-0.248585219314157,-0.183937473665155,-0.153030273071853,"below","below","below"
"Financials",0.409742575840625,0.252915587260271,0.464051918847893,0.381351862984551,"above","above","above"
"Healthcare",0.58146701584375,0.408435011454876,0.153478523883077,0.0931806999917635,"above","above","above"
"Industrials",0.524574755335558,0.317829197890502,0.303802587263301,0.193020971628855,"above","above","above"
"Technology",0.585005841666667,0.368585875036191,0.251536783999162,0.253548077736704,"above","above","above"
"Telecoms",0.655677104225,-0.10079781049452,-0.118238576259875,-0.12473560569131,"below","below","below"
